Marca temporal,Edat:,Gènere:,Quina relació tens amb la persona diagnosticada?,En quin moment del procés oncològic es troba actualment?,"Quan vas conèixer el diagnòstic, vas rebre informació o orientació sobre com gestionar emocionalment la situació?","Si vas rebre suport per altres persones o entitats, quines són?",Com valores el suport emocional o psicològic que has rebut durant el procés?,Quins aspectes consideres que han estat o són més difícils d'afrontar durant el procés?,"Has sentit en algun moment la necessitat de rebre ajuda professional (psicòleg/a, grup de suport, etc.) per gestionar la situació?","Si has necessitat ajuda o recursos, consideres que aquests han estat fàcilment accessibles per a tu?","Si en tens, quins recursos o estratègies t'han ajudat més a gestionar emocionalment la situació?","Consideres que una guia psicoeducativa per a familiars de pacients amb càncer, lliurada a l'inici del tractament, podria ser útil?",Quina informació o orientació t'hauria ajudat tenir des de l'inici del procés?,"Quins temes consideres més útils per incloure en una guia per a familiars?
(Marca de 3 a 5 opcions)",Vols afegir algun comentari o suggeriment?
7/01/2026 10:21:02,60,Dona,Jo mateix,Recuperació total de la malaltia,No,Maresme oncologic ,5,La aceptación ,Sí,Sí,Hablar con alguien que te entiende,Sí,"La manera de poder afrontar tus emociones, herramientas sicológicas.","Com gestionar les emocions i l'estrès, Com afrontar la por, la tristesa o la incertesa, Signes d'alerta de sobrecàrrega emocional, Recursos de suport (psicològic i/o social), Que la guia inclogui exercicis o activitats pràctiques","Es un proceso muy duro , pero conoces profesionales muy implicados y muy buenas personas."
8/01/2026 21:04:26,42,Dona,Persona amiga o de suport proper,Recuperació total de la malaltia,No,,1,No derrumbar-me davant de la persona. No trobar paraules adequades de suport. ,No,No,,Sí,El que indico a la pregunta següent,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa",Gràcies
8/01/2026 18:16:45,53,Dona,Progenitor/a,Recuperació total de la malaltia,No,,1,Acompanyament als meus fills.,Sí,Sí,Tinc formació en psicologia i acompanyament en situacions de dol.,Sí,"Més informació sobre la gestió emocional meva i de tota la família en un moment com aquest. Més claredat en la comunicació amb el pacient, utilitzar paraules més planeres, de manera que, per exemple, un senyor de gairebé 80 anys i la seva dona puguin entendre què està passant, i que se senti escoltat.","Com gestionar les emocions i l'estrès, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Autocura i benestar del cuidador/a, Signes d'alerta de sobrecàrrega emocional",
8/01/2026 20:07:53,53,Dona,Progenitor/a,Recuperació total de la malaltia,"Sí, per part dels professionals de la salut",Família ,5,Quant diuen que potser té metàstasi ,Sí,Sí,,Sí,Ajuda sicológica ,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Signes d'alerta de sobrecàrrega emocional",
27/01/2026 15:11:09,34,Dona,Fill/a,Tractament,No,,2,Acompanyament durant la incertesa,Sí,Sí,"Mi psicóloga, chatGPT",Sí,"Más información sobre la enfermedad, tratamiento, efectos, y sobre todo apoyo psicológico. Me cuesta mucho pasar por algo así sin referentes, y sabiendo que cada paciente y enfermedad son diferentes. Es pura incertidumbre","Como gestionar las emociones y el estrés, Como comunicarse con la persona afectada, Como dar apoyo a la persona afectada, Como afrontar el miedo, la tristeza o la incertidumbre, Signos de alerta de sobrecarga emocional, Recursos de apoyo (psicológico y/o social)",
7/01/2026 12:12:21,47,Dona,Germà/na,Tractament,No,,1,"El no saber els efectes dels tractaments exactament, ni com ajudar ",Sí,No,,Sí,Informació de com gestionar el proceso de tot el tractament ,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Signes d'alerta de sobrecàrrega emocional, Que la guia inclogui exercicis o activitats pràctiques",
8/01/2026 14:54:32,53,Dona,Germà/na,Tractament,"Sí, per altres persones / entitats",Companys de feina ,4,No saber com anirà el procés i si hi ha esperança a llarg termini ,Sí,Sí,Escolta activa ,Sí,Quin tipus de tumor tenia,"Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Recursos de suport (psicològic i/o social), Que la guia inclogui exercicis o activitats pràctiques",
8/01/2026 12:41:56,45,Home,Parella o persona amb qui comparteixo la vida,Tractament,No,,2,La incertesa inicial sobre el grau de extensió i el pronòstic. ,Sí,Sí,"Un centre de psicologia de caràcter privat, un centre de medicina xinesa on rebo acupuntura i alguns llibres escrits tant per psicòlegs/gues com per pacients. ",Sí,"Una Orientació sobre els recursos disponibles mes adients per rebre suport emocional. Fer una cerca de forma autònoma sempre porta a no saber si el recurs que tries realment és el mes adequat i a fer assaig error. En tot cas, també és cert que amb una cerca per internet trobes informació d’aquests recursos (psicologia clínica vs coaching, gestalt vs cognitiva conductual, terapai de  reducció de estrés vs yoga i etc etc) mancaria potser saber quins serien els mes adients o orientats a persones amb càncer i familiars.  ","Com gestionar les emocions i l'estrès, Com afrontar la por, la tristesa o la incertesa, Recursos de suport (psicològic i/o social)","Tot i que la oferta formal de suport emocional des de les entitats públiques ha estat nul, destacar que cada professional que ens hem trobat, de medicina,  d’infermeria, de personal de hestió etc han fet un paper molt important en l’acompanyament emocional en moments puntuals. És cert que és insuficient i que, en un mon ideal, l’acompanyament hauria de ser una part mes de l’atenció i no un a mes a mes, però això no treu que aquestes persones siguin una peça important a tenir en consideració dins de la creació d’una guia com la que es descriu. I agrair molt aquesta iniciativa per una guia de suport. "
29/12/2025 22:10:21,63,Home,Parella o persona amb qui comparteixo la vida,Tractament,No,,2,La incertesa. ,No,No,L'acceptació de la situació. ,Sí,Informació sobre el procés. ,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Que la guia inclogui exercicis o activitats pràctiques",
7/01/2026 22:46:25,72,Dona,Parella o persona amb qui comparteixo la vida,Tractament,No,,4,La quimioterapia y las secuelas ,Sí,No,El apoyo de mis hijas,Sí,Las enormes dudas que surgen y no saber cómo actuar.,"Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa","Comprensión,a la cantidad de preguntas que se hacen."
8/01/2026 9:27:20,69,Dona,Persona amiga o de suport proper,Tractament,"Sí, per altres persones / entitats",Familiars ,4,La incertesa ,Sí,No,Psicòleg o buscant informació  ,Sí,Informació del procés de la malaltia i ajuda psicologica,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com comunicar-se amb els professionals sanitaris, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Recursos de suport (psicològic i/o social)","Que aprofitin tots els recursos, que si se allarga molt la malaltia  que pensem que familia i amics tenen molt de petimen i no sempre els profesionals estan a l’alçada  emocional i necessitariem claretat en la informació i ser mes empatics. Avegades no recordem que qui esta devant reben noticies estan molt sensibles i petin. "
